-BEGIN HEADER-,,,,,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,,,,,
Dates (month/day/year): 01/01/2026 through 05/17/2026 in LST,,,,,,,,,,,,
Location: latitude  14.676   longitude 121.0437 ,,,,,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.16 meters,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,
parameter(s): ,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,Solar Irradiance,Rainfall,Humidity,Temperature
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,1,103.4258,220.37,2728.67,720.01
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,2,122.9767,132.2,2389.49,
-END HEADER-,,,,,,,,3,171.0574,29.71,2420.11,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PRECTOTCORR,RH2M,T2M,,4,202.3706,14.68,2071.74,
2026,1,1,3.1099,15.57,89.69,24.64,,5,85.7248,22.46,959.36,
2026,1,2,1.7993,19.17,93.34,23.31,,,,,,
2026,1,3,2.9678,11.62,88.46,22.59,,,Solar Irradiance,Rainfall,Humidity,Temperature
2026,1,4,2.8846,4.98,87.62,22.24,,1,3.3363,7.1087,88.0216,23.2261
2026,1,5,2.7598,20.93,90.68,23.33,,2,4.392,4.7214,85.3389,23.8389
2026,1,6,2.177,18.6,92.22,23.81,,3,5.518,0.9584,78.0681,24.43
2026,1,7,3.132,7.22,89.83,23.52,,4,6.7457,0.4893,69.058,27.45
2026,1,8,2.6976,9.15,90.56,23.64,,5,7.1437,1.6043,68.5257,29.1093
2026,1,9,2.4173,21.2,91.13,23.71,,,,,,
2026,1,10,2.2253,14.94,91.93,23.89,,,,,,
2026,1,11,3.2803,3.55,92.28,24.28,,,,,,
2026,1,12,2.0858,11.51,91.69,23.88,,,,,,
2026,1,13,3.4745,7.64,90.89,24.62,,,,,,
2026,1,14,3.2616,9.44,89.93,24.43,,,,,,
2026,1,15,3.8705,1.43,88.1,23.52,,,,,,
2026,1,16,3.973,0.66,88.47,23.6,,,,,,
2026,1,17,2.2219,2.42,88.2,23.39,,,,,,
2026,1,18,3.8026,0.13,87.36,24.24,,,,,,
2026,1,19,4.9428,0.65,83.46,25.04,,,,,,
2026,1,20,4.5977,2.58,85.89,23.92,,,,,,
2026,1,21,4.2437,4.05,86.12,22.5,,,,,,
2026,1,22,3.6653,1.35,81.74,21.38,,,,,,
2026,1,23,4.7333,0.84,82.15,21,,,,,,
2026,1,24,3.3137,1.27,83.52,21.26,,,,,,
2026,1,25,4.2566,0.95,83.84,21.65,,,,,,
2026,1,26,2.8279,12.28,90.35,23.18,,,,,,
2026,1,27,2.5558,7.52,89.01,23.47,,,,,,
2026,1,28,4.6306,0.45,84.05,23.05,,,,,,
2026,1,29,4.6954,2.54,84.36,22.26,,,,,,
2026,1,30,3.2112,4.55,85.95,22.04,,,,,,
2026,1,31,3.611,1.18,85.85,22.62,,,,,,
2026,2,1,4.7146,0.02,83.63,22.76,,,,,,
2026,2,2,5.2058,0.01,80.79,23.18,,,,,,
2026,2,3,5.6633,0.24,81.07,22.91,,,,,,
2026,2,4,4.7306,0.65,83.01,22.66,,,,,,
2026,2,5,4.7906,0.06,81.87,22.5,,,,,,
2026,2,6,2.7386,2.01,86.39,22.66,,,,,,
2026,2,7,2.2877,9.91,91.96,23.84,,,,,,
2026,2,8,1.7748,28.32,92.53,23.56,,,,,,
2026,2,9,3.5731,4.91,86.47,21.79,,,,,,
2026,2,10,3.6792,2.91,87.03,22.8,,,,,,
2026,2,11,3.5758,4.36,87.69,24.15,,,,,,
2026,2,12,3.6787,6.48,87.29,24.34,,,,,,
2026,2,13,3.2042,10.42,88.51,24.4,,,,,,
2026,2,14,2.8296,27.98,90.55,24.98,,,,,,
2026,2,15,3.5532,13.45,90.68,25.13,,,,,,
2026,2,16,5.251,2.92,87.95,25.36,,,,,,
2026,2,17,4.8984,2.98,87.16,25.06,,,,,,
2026,2,18,4.7302,1.75,83.21,23.96,,,,,,
2026,2,19,5.3347,0.82,80.68,23.5,,,,,,
2026,2,20,4.2888,0.71,82.71,23.65,,,,,,
2026,2,21,4.6637,1.17,84.22,23.61,,,,,,
2026,2,22,5.8097,0.77,83.13,23.67,,,,,,
2026,2,23,4.9985,3.39,85.31,24.39,,,,,,
2026,2,24,3.827,5,87.18,25.03,,,,,,
2026,2,25,4.7854,0.66,84.41,25.01,,,,,,
2026,2,26,5.76,0.23,82.58,24.23,,,,,,
2026,2,27,6.0876,0.03,80.71,24.17,,,,,,
2026,2,28,6.5419,0.04,80.77,24.19,,,,,,
2026,3,1,4.327,1.46,84.56,25,,,,,,
2026,3,2,4.5794,0.82,83.49,25.7,,,,,,
2026,3,3,6.0646,0.07,81.56,24.86,,,,,,
2026,3,4,6.253,0,82.04,24.62,,,,,,
2026,3,5,5.905,0.21,81.08,25.35,,,,,,
2026,3,6,5.8255,0.27,80.51,25.75,,,,,,
2026,3,7,5.6018,1.21,79.78,25.38,,,,,,
2026,3,8,4.5454,8.21,84.69,24.75,,,,,,
2026,3,9,4.6807,0.98,78.8,24.28,,,,,,
2026,3,10,5.5774,0.02,74.89,23.57,,,,,,
2026,3,11,5.3357,0.29,76.37,23.4,,,,,,
2026,3,12,5.5046,2.58,79.52,23.59,,,,,,
2026,3,13,3.2057,3.87,76.95,22.25,,,,,,
2026,3,14,5.0784,0.28,69.13,21.25,,,,,,
2026,3,15,4.4326,0.01,70.56,21.72,,,,,,
2026,3,16,4.7906,0.46,74.57,22.22,,,,,,
2026,3,17,4.2446,2.31,82.05,23.32,,,,,,
2026,3,18,4.4801,2.06,82.04,23.8,,,,,,
2026,3,19,5.9105,0.32,78.36,24.35,,,,,,
2026,3,20,6.3936,0.18,78.83,24.18,,,,,,
2026,3,21,6.9209,0.27,78.65,24.06,,,,,,
2026,3,22,6.2597,0.37,79.02,24.05,,,,,,
2026,3,23,6.4238,0.05,75.16,23.93,,,,,,
2026,3,24,6.6715,0.02,75.52,24.36,,,,,,
2026,3,25,5.0316,2.1,81.69,25.67,,,,,,
2026,3,26,5.4362,1.21,78.82,25.36,,,,,,
2026,3,27,6.3811,0.01,74.75,25.9,,,,,,
2026,3,28,6.4675,0,72.37,26.25,,,,,,
2026,3,29,5.7574,0,74.71,26.18,,,,,,
2026,3,30,6.3806,0.02,75.44,26.23,,,,,,
2026,3,31,6.5909,0.05,74.2,26,,,,,,
2026,4,1,7.0901,0.11,75.55,25.41,,,,,,
2026,4,2,7.1918,0.01,75.32,24.9,,,,,,
2026,4,3,7.127,0.17,73.02,25.31,,,,,,
2026,4,4,6.6703,0.02,65.69,27.06,,,,,,
2026,4,5,7.1412,0.06,67.5,27.46,,,,,,
2026,4,6,7.3152,0.44,74.93,26.63,,,,,,
2026,4,7,7.1592,0.32,70.97,27.46,,,,,,
2026,4,8,7.2398,0.04,70.85,26.59,,,,,,
