year,month,temperature,humidity,rainfall,solar_irradiance,peak_demand_kw,consumption_kwh
2026,1,24.05,87.68,198.59,3.59,1578.01,1202031.94
2026,2,24.43,82.57,130.29,4.09,1777.95,1254243.21
2026,3,25.75,79.26,69.43,5.11,1961.38,1340024.21
2026,4,27.87,76.04,102.7,5.93,1866.88,1364612.72
2026,5,28.21,77.35,195.89,5.8,1927.23,1363205.09
2026,6,27.46,84.18,262.58,5.26,1569.38,1111717.44
2026,7,27.3,86.27,438.94,4.3,1744.45,1136014.71
2026,8,26.96,85.01,281.82,4.8,1408.67,1093516.2
2026,9,26.43,90.08,360.36,4.06,1662.21,1167190.47
2026,10,26.57,88.79,427.37,3.87,1788.18,1229319.58
2026,11,25.81,89.76,326.77,3.75,1734.95,1228936.0
2026,12,24.83,88.38,378.53,3.26,1753.28,1291386.7
