year,month,temperature,humidity,rainfall,solar_irradiance,peak_demand_kw,consumption_kwh,,,X variable,Y variable,,,,,X variable,Y variable,,,,,,X variable,Y variable,,,,,,X variable,Y variable,,,,X variable,Y variable
2015,1,22.94103448,85.37172414,86.34,3.6323,1398.18,968469.74,,,temperature,consumption_kwh,r,0.078,,,humidity,consumption_kwh,r,-0.229410873,,,,rainfall,consumption_kwh,r,-0.108373745,,,,solar_irradiance,consumption_kwh,r,0.106067382,,peak_demand_kw,consumption_kwh
2015,2,23.3125,81.78535714,61.03,4.76615,1073.02,938467.01,,,22.94103448,968469.74,slope,7258.576389,,,85.37172414,968469.74,slope,-5959.210451,,,,86.34,968469.74,slope,-74.57420357,,,,3.6323,968469.74,slope,15025.81876,,1398.18,968469.74
2015,3,24.82774194,77.19645161,58.49,5.609864516,1842.54,1116724.26,,,23.3125,938467.01,intercept,897313.8342,,,81.78535714,938467.01,intercept,1591762.854,,,,61.03,938467.01,intercept,1106690.411,,,,4.76615,938467.01,intercept,1016883.473,,1073.02,938467.01
2015,4,27.27,73.06233333,34.3,6.125543333,1302.69,1074714.75,,,24.82774194,1116724.26,,,,,77.19645161,1116724.26,,,,,,58.49,1116724.26,,,,,,5.609864516,1116724.26,,,,1842.54,1116724.26
2015,5,29.23612903,67.77741935,38.44,6.285083871,1333.4,1047521.55,,,27.27,1074714.75,,,,,73.06233333,1074714.75,,,,,,34.3,1074714.75,,,,,,6.125543333,1074714.75,,,,1302.69,1074714.75
2015,6,28.34066667,76.58866667,142.34,5.865603333,984.61,773207.27,,,29.23612903,1047521.55,,,,,67.77741935,1047521.55,,,,,,38.44,1047521.55,,,,,,6.285083871,1047521.55,,,,1333.4,1047521.55
2015,7,26.64096774,84.36709677,255.43,4.687270968,1281.78,917656.48,,,28.34066667,773207.27,,,,,76.58866667,773207.27,,,,,,142.34,773207.27,,,,,,5.865603333,773207.27,,,,984.61,773207.27
2015,8,26.95129032,84.79258065,233.47,4.988354839,1224.6,845348.06,,,26.64096774,917656.48,,,,,84.36709677,917656.48,,,,,,255.43,917656.48,,,,,,4.687270968,917656.48,,,,1281.78,917656.48
2015,9,26.82733333,85.607,239.31,5.23224,1124.26,829322.7,,,26.95129032,845348.06,,,,,84.79258065,845348.06,,,,,,233.47,845348.06,,,,,,4.988354839,845348.06,,,,1224.6,845348.06
2015,10,26.25870968,86.07258065,277.72,4.439887097,1052.48,931217.47,,,26.82733333,829322.7,,,,,85.607,829322.7,,,,,,239.31,829322.7,,,,,,5.23224,829322.7,,,,1124.26,829322.7
