year,month,temperature,humidity,rainfall,solar_irradiance,peak_demand_kw,consumption_kwh
2000,1,23.535419,74.847223,186.38,4.195578,2084.44,1465975.47
2000,1,26.985295,81.947219,125.33,5.221704,1704.95,1359614.2
2000,1,27.847287,69.165606,180.23,4.222793,1051.63,1235052.5
2000,1,23.008422,72.503833,172.79,5.487096,2023.27,1508252.77
2000,4,28.186719,61.191008,8.29,7.240514,1088.69,1523350.24
2000,4,32.813979,68.798709,8.72,5.851956,1560.76,1658043.26
2000,4,30.345784,68.495873,67.23,5.896837,1736.05,1489335.23
2000,4,29.046698,73.949252,69.11,7.284701,1351.45,1497781.46
2000,7,29.843558,90.856046,407.71,4.53517,2015.85,1135490.63
2000,7,26.789006,85.367768,243.44,5.310028,1792.82,1309017.59
2000,7,25.911721,79.682239,378.16,4.787211,1964.76,1032369.94
2000,10,22.994603,82.598379,93.16,5.937385,2006.74,1537707.89
2000,10,26.617561,78.974103,172.49,5.001393,1061.68,1394884.87
2000,10,22.020747,72.674461,64.72,4.130247,1958.79,1310331.84
2001,2,22.337226,75.456285,122.09,4.800172,2012.64,1284644.01
2001,2,25.855363,84.86062,142.99,5.455999,1773.27,1456337.79
2001,2,24.981875,71.906753,154.84,5.151667,1373.98,1223297.66
2001,2,22.692913,75.868743,81.3,5.114864,1742.88,1542519.4
2001,5,28.575677,65.61233,40.68,6.508905,1211.05,1630150.46
2001,5,32.316405,74.526699,83.55,7.049049,1676.02,1556229.19
2001,5,28.035555,72.969661,86.82,6.247067,1836.56,1718617.38
2001,5,29.302416,73.183026,76.76,6.390951,1230.21,1423181.52
2001,8,24.091296,88.777106,318.14,4.529237,2026.83,1272375.83
2001,8,25.880611,87.614925,267.15,3.90328,1690.81,1263794.24
2001,8,29.458993,82.811623,327.68,4.897429,1059.87,1171995.33
2001,11,22.859421,69.085001,69.79,4.01756,1638.02,1207502.91
2001,11,27.030825,76.938183,63.76,4.632079,1016.73,1199376.65
2001,11,24.314278,68.509306,175.76,5.823158,997.49,1211308.39
2002,3,28.969586,58.797239,44.99,6.892124,1734.22,1539449.61
2002,3,31.868077,64.525623,13.99,6.214268,2110.59,1747465.6
2002,3,31.655009,64.252542,25.55,6.051729,1287.57,1555682.89
2002,3,31.616522,65.542698,31.32,5.848171,970.93,1420490.11
2002,6,27.646213,84.809832,350.02,3.345389,1648.87,1092043.62
2002,6,24.775666,79.387506,398.63,4.722044,1968.05,1309524.92
2002,6,28.51441,77.777184,379.84,4.942071,1213.44,1111792.71
2002,6,24.632713,79.674736,361.72,3.640026,1078.21,1068154.06
2002,9,24.654171,80.114864,173.67,4.1141,1494.59,1240326.02
2002,9,24.097236,78.029737,275.67,4.729824,1776.7,1244806.22
2002,9,27.573848,85.415271,336.36,4.429521,1995.07,1318190.89
2002,12,26.632154,76.618373,165.65,5.961,1954.23,1291012.7
2002,12,27.119766,81.579865,146.18,4.003781,1424.94,1335155.44
2002,12,25.431155,68.99992,158.0,4.978291,1252.69,1232864.99
2003,1,24.6747,82.809167,59.76,6.087991,1185.22,1470700.4
2003,1,28.499706,85.482673,80.03,4.93412,915.94,1282310.89
2003,1,22.291487,72.326465,144.48,4.033542,1348.84,1202939.93
2003,4,34.109538,63.299813,6.96,6.198553,1155.47,1456760.58
2003,4,33.642451,62.455079,89.67,6.67162,912.1,1559026.53
2003,4,33.376805,67.907842,72.01,5.845914,980.28,1336487.86
2003,4,28.657516,66.640898,7.26,6.36278,1070.44,1296948.35
2003,7,27.934837,79.794749,370.73,4.473321,1313.19,1341664.95
2003,7,26.576936,78.076705,285.39,5.257831,1764.19,1503157.0
2003,7,30.429786,82.656106,272.78,4.35026,1419.89,1205822.11
2003,7,24.729042,88.692445,406.73,4.543562,916.25,1066606.48
2003,10,26.395193,76.035028,158.85,5.277737,1631.24,1340227.15
2003,10,25.191705,76.084945,95.31,5.250998,1961.15,1439121.3
2003,10,23.217485,82.551577,175.76,4.702727,1409.07,1497953.05
2004,2,24.683734,84.091072,172.38,6.031568,1817.0,1520001.18
2004,2,28.458556,83.751779,148.76,5.812485,1527.96,1444091.14
2004,2,24.28442,72.276108,157.52,4.112039,2043.95,1349394.34
2004,5,28.015582,65.780365,9.29,6.842913,1481.82,1667797.22
2004,5,30.311033,73.085082,9.65,6.470716,2151.03,1564718.86
2004,5,31.51075,63.356539,25.64,6.503797,1897.8,1653204.13
2004,5,31.536892,62.585826,35.34,5.927607,1364.03,1565887.34
2004,8,29.497024,81.216253,277.77,4.986704,1940.01,1600143.09
2004,8,30.314042,89.048757,392.86,5.261013,950.52,1176591.22
2004,8,30.011376,86.965186,386.68,5.300709,1207.84,1294173.83
2004,8,24.655925,85.152508,358.87,5.372204,1125.58,1230482.93
2004,11,22.181318,79.593839,149.63,5.723901,1069.07,1340584.74
2004,11,22.029243,85.97925,112.19,4.643728,1986.34,1628352.0
2004,11,24.067105,78.245367,178.4,4.602537,1235.64,1284914.52
2005,3,34.359029,61.625436,65.31,6.049967,2094.61,1478477.66
2005,3,32.270779,59.370783,69.13,7.268538,1202.53,1595426.63
2005,3,33.491306,66.741127,40.3,6.624448,948.23,1498315.25
2005,6,25.093348,81.460324,303.51,4.011481,1493.94,1186897.48
2005,6,28.750724,76.931221,353.36,4.690009,1781.1,1324206.09
2005,6,28.23485,81.992496,271.16,4.692903,1439.13,1358144.66
2005,6,29.511951,85.575625,367.12,3.485587,1265.05,1269056.22
2005,9,26.154013,84.403183,272.97,4.212871,1713.79,1156507.63
2005,9,27.15496,86.383217,357.93,3.914327,989.22,1272902.64
2005,9,24.304219,83.716017,252.83,4.102769,1723.96,1268881.08
2005,12,24.820884,74.985468,51.3,4.738547,1280.32,1377985.63
2005,12,26.17806,82.219206,185.22,4.690589,1440.24,1475451.85
2005,12,27.915402,69.497852,71.24,4.672417,1424.5,1676838.68
2006,1,28.405632,68.632187,55.19,5.317151,974.39,1395946.26
2006,1,23.170629,81.047886,72.02,4.990242,1502.59,1473257.13
2006,1,27.281314,75.022424,137.5,4.771762,1095.01,1468658.02
2006,4,32.096735,68.833651,48.22,7.264923,1539.83,1571443.14
2006,4,30.053633,59.796404,87.07,7.343882,1323.88,1763536.23
2006,4,33.77553,59.548566,49.62,6.501948,1832.06,1521206.95
2006,7,25.815077,89.690971,355.05,5.21416,1127.53,1212749.38
2006,7,29.821249,80.208508,186.22,4.420791,1709.93,1284562.4
2006,7,28.825979,85.569394,187.38,4.034504,2124.81,1609997.33
2006,7,25.351868,79.66299,224.91,4.447683,1391.24,1302617.24
2006,10,26.179853,75.32584,183.58,4.211082,1341.38,1190617.65
2006,10,27.131147,85.635029,177.13,5.843211,1518.7,1580401.93
2006,10,24.094311,84.483391,113.46,5.532569,1773.91,1546553.41
2007,2,24.833438,80.772834,89.4,5.382071,1010.2,1572169.39
2007,2,24.852823,80.8906,179.33,5.262042,1522.4,1474395.66
2007,2,27.263814,73.803105,47.93,4.758533,1762.22,1601169.13
2007,5,29.558684,66.089021,12.96,6.83847,1117.04,1393160.75
2007,5,31.078047,63.448359,35.43,6.87853,1239.19,1559327.83
2007,5,31.939396,64.938325,76.5,6.127529,987.45,1478228.4
2007,8,27.904087,91.591538,401.3,4.547645,1250.6,1272132.4
2007,8,24.439798,80.102549,381.35,5.004943,1524.08,1310381.43
2007,8,24.679673,76.583933,188.26,4.914693,1741.24,1421718.0
2007,8,29.842568,89.802517,376.32,4.909626,1843.17,1573013.05
2007,11,24.696122,84.552071,81.68,5.384154,972.75,1546218.18
2007,11,28.786776,68.947393,166.8,4.202147,1640.75,1328296.56
2007,11,27.992028,80.287346,178.38,4.419187,1052.85,1360751.25
2008,3,33.94123,58.272612,42.08,6.143603,1834.33,1633965.52
2008,3,34.459276,62.002782,83.85,5.858448,1194.75,1352789.0
2008,3,28.737289,66.118779,72.1,6.613729,2155.71,1576996.51
2008,6,24.609051,91.527794,290.58,4.01592,1394.23,1422082.69
2008,6,28.463577,86.710895,199.5,4.583891,1964.92,1566373.85
2008,6,28.833403,83.5801,184.16,4.504781,2123.81,1610500.79
2008,9,28.148208,86.607258,319.2,4.231654,1823.67,1527510.33
2008,9,27.33437,90.323481,257.4,3.78538,1403.1,1298914.93
2008,9,28.619883,84.765799,231.5,4.767592,1064.78,1434441.79
2008,9,26.716722,86.98629,249.61,4.724029,1704.69,1499022.15
2008,12,26.915422,72.821245,166.43,5.240933,1723.22,1413673.28
2008,12,28.849761,77.618835,117.58,5.444689,1380.84,1494577.96
2008,12,27.660698,77.332689,110.54,5.969867,1105.21,1235364.98
