-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 05/17/2026 in LST
Location: latitude  14.676   longitude 121.0437 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PRECTOTCORR,RH2M,T2M
2015,1,1,1.5552,18.81,90.22,22.07
2015,1,2,2.9033,6.33,87.35,21.59
2015,1,3,3.4356,0.82,86.66,22.11
2015,1,4,4.1462,1.05,88.43,23.21
2015,1,5,3.275,1.7,90.18,23.75
2015,1,6,4.159,0.56,87.16,23.44
2015,1,7,3.2798,0.85,86.94,22.98
2015,1,8,4.1093,4.09,86.83,22.37
2015,1,9,3.2882,6.57,87.56,21.99
2015,1,10,4.4136,1.84,85.82,21.37
2015,1,11,3.9206,1.79,86.36,21.87
2015,1,12,3.9182,2.89,87.09,22.33
2015,1,13,3.2976,0.87,86.59,22.75
2015,1,14,3.2748,0.18,85.61,23.45
2015,1,15,3.5333,0.35,85.95,23.55
2015,1,16,4.0102,0.7,84.81,23.04
2015,1,17,2.5337,1.45,82.29,21.76
2015,1,18,0.6838,47.39,90.0,21.27
2015,1,19,5.2406,0.86,81.93,23.97
2015,1,20,4.2074,0.0,81.68,24.73
2015,1,21,5.0539,0.05,79.85,25.58
2015,1,22,3.6242,3.68,85.93,24.19
2015,1,23,2.0102,4.95,86.68,22.03
2015,1,24,2.5618,1.01,81.29,21.6
2015,1,25,4.103,0.2,83.05,22.19
2015,1,26,3.875,0.17,84.73,22.81
2015,1,27,3.7795,0.01,84.28,22.95
2015,1,28,3.8688,0.74,86.96,24.11
2015,1,29,2.9978,0.86,86.17,24.04
2015,1,30,3.541,0.47,85.12,23.41
2015,1,31,5.1946,0.24,79.83,22.44
2015,2,1,3.509,0.77,79.67,22.17
2015,2,2,5.2363,0.06,76.46,21.7
2015,2,3,5.2985,0.02,78.78,21.79
2015,2,4,5.1086,0.34,80.49,21.81
2015,2,5,5.3491,0.51,81.54,22.3
2015,2,6,5.1209,0.74,82.67,22.58
2015,2,7,5.0479,0.87,83.03,23.26
2015,2,8,5.9112,0.0,73.26,24.75
2015,2,9,5.237,2.09,80.58,23.16
2015,2,10,4.6721,5.55,84.37,22.7
2015,2,11,3.6125,1.21,84.39,23.18
2015,2,12,4.9994,2.58,81.68,24.18
2015,2,13,3.0065,8.7,86.06,23.73
2015,2,14,2.849,16.83,89.17,23.56
2015,2,15,3.5974,9.26,90.3,23.8
2015,2,16,4.0488,0.16,83.1,23.75
2015,2,17,5.887,0.04,81.49,23.66
2015,2,18,4.7342,0.52,80.79,23.56
2015,2,19,4.0478,5.36,84.14,23.21
2015,2,20,2.5164,3.58,83.3,22.71
2015,2,21,3.8758,0.06,79.61,22.94
2015,2,22,6.0701,0.0,78.76,22.72
2015,2,23,6.3533,0.0,80.42,22.94
2015,2,24,4.8514,0.47,82.13,23.8
2015,2,25,4.979,0.85,83.22,24.47
2015,2,26,6.0634,0.46,81.36,24.95
2015,2,27,5.8867,0.0,79.72,24.82
2015,2,28,5.5829,0.0,79.5,24.55
2015,3,1,6.5203,0.0,77.17,23.98
2015,3,2,6.4562,0.05,77.77,23.6
2015,3,3,6.5436,0.01,75.32,23.75
2015,3,4,6.4507,0.0,75.95,24.5
2015,3,5,4.5559,2.84,79.53,24.72
2015,3,6,5.6952,0.46,78.47,25.03
2015,3,7,5.6851,0.79,79.0,25.07
2015,3,8,6.6708,0.07,75.11,23.92
2015,3,9,6.895,0.0,73.4,24.04
2015,3,10,6.3466,0.13,74.2,23.5
2015,3,11,2.8423,11.03,84.56,23.96
2015,3,12,5.3378,1.03,79.4,24.23
2015,3,13,4.5094,0.35,77.26,24.7
2015,3,14,5.4053,0.28,77.39,24.89
2015,3,15,6.0485,0.41,76.87,24.9
2015,3,16,5.1734,0.38,76.05,24.11
2015,3,17,7.0351,0.0,71.06,23.52
2015,3,18,6.8153,0.0,70.41,24.57
2015,3,19,6.7562,0.0,70.82,25.26
2015,3,20,6.0221,1.95,71.94,26.45
2015,3,21,3.4253,8.47,81.88,26.67
2015,3,22,3.1942,7.11,84.06,25.45
2015,3,23,3.8294,6.89,82.23,25.22
2015,3,24,4.615,4.45,79.97,25.4
2015,3,25,4.411,3.41,79.94,25.29
2015,3,26,5.1787,6.02,80.51,25.09
2015,3,27,5.9798,1.22,77.28,25.34
2015,3,28,6.4531,0.58,76.3,25.51
2015,3,29,6.7843,0.12,75.97,25.45
2015,3,30,6.7392,0.39,75.91,25.44
2015,3,31,5.531,0.05,77.36,26.1
2015,4,1,5.5056,1.29,78.38,26.82
2015,4,2,6.805,0.3,74.2,26.52
2015,4,3,7.4266,0.01,73.36,26.06
2015,4,4,5.5092,0.4,71.35,27.39
2015,4,5,2.1614,1.67,78.89,26.07
2015,4,6,6.5419,0.21,74.55,27.05
2015,4,7,6.6262,0.04,73.15,26.46
2015,4,8,6.6418,0.05,71.97,26.13
2015,4,9,5.3844,0.9,73.32,26.06
2015,4,10,5.6417,1.11,74.67,26.01
2015,4,11,6.6742,0.67,74.35,26.08
2015,4,12,6.7961,0.26,71.11,26.94
2015,4,13,6.9458,0.41,67.08,27.97
2015,4,14,5.856,1.1,71.68,27.16
2015,4,15,3.8916,2.96,75.53,26.64
2015,4,16,5.5834,2.64,74.45,28.13
2015,4,17,6.4531,0.87,72.93,28.02
2015,4,18,5.9251,2.6,75.46,27.77
2015,4,19,5.9129,2.0,75.01,28.46
2015,4,20,6.7687,0.98,68.33,29.55
2015,4,21,5.3686,5.26,81.04,27.24
2015,4,22,6.5316,2.21,78.32,27.02
2015,4,23,6.6646,1.68,73.95,26.79
2015,4,24,5.513,3.59,77.91,26.35
2015,4,25,6.876,0.29,73.84,26.85
2015,4,26,6.3154,0.21,72.07,27.39
2015,4,27,6.4906,0.55,72.94,27.52
2015,4,28,7.1635,0.03,65.72,28.82
2015,4,29,6.8585,0.01,63.77,29.36
2015,4,30,6.9338,0.0,62.54,29.47
2015,5,1,7.2936,0.22,63.95,29.24
2015,5,2,6.1334,0.61,68.81,29.03
2015,5,3,4.4794,4.76,75.47,28.28
2015,5,4,5.713,2.3,73.86,28.49
2015,5,5,7.1246,1.36,71.11,28.81
2015,5,6,6.8124,0.18,70.06,28.18
2015,5,7,6.6178,1.24,66.13,29.64
2015,5,8,6.8842,0.92,66.86,29.02
2015,5,9,5.903,1.33,68.16,29.19
2015,5,10,4.0646,2.26,73.39,28.83
2015,5,11,6.3838,0.12,64.18,30.52
2015,5,12,6.439,0.58,68.4,29.45
2015,5,13,7.2854,0.67,70.25,28.54
2015,5,14,6.5304,0.28,70.31,28.4
2015,5,15,6.1145,1.16,71.2,28.39
2015,5,16,7.2408,0.1,66.97,28.84
2015,5,17,7.1609,0.01,65.49,28.6
2015,5,18,6.7075,0.0,60.3,29.22
2015,5,19,6.9228,0.0,59.59,30.09
2015,5,20,6.7894,0.41,59.72,30.48
2015,5,21,6.2318,1.93,63.46,30.54
2015,5,22,5.7283,1.08,69.36,29.53
2015,5,23,5.7859,0.7,72.04,29.27
2015,5,24,5.7602,0.19,61.77,29.85
2015,5,25,5.7492,1.38,69.46,29.05
2015,5,26,5.8978,0.96,67.75,29.49
2015,5,27,5.957,1.6,65.42,29.81
2015,5,28,6.2431,0.72,64.67,30.11
2015,5,29,6.1858,3.63,72.4,28.95
2015,5,30,6.2374,6.81,71.03,29.14
2015,5,31,6.4606,0.93,69.53,29.34
2015,6,1,6.7783,2.47,72.38,28.9
2015,6,2,6.6569,2.3,74.29,28.52
2015,6,3,6.4997,2.44,66.44,29.96
2015,6,4,6.9499,1.21,70.32,29.23
2015,6,5,5.4768,7.17,71.96,29.1
2015,6,6,6.0804,13.33,78.87,28.23
2015,6,7,4.4234,9.69,84.45,27.2
2015,6,8,5.9515,5.7,77.18,28.4
2015,6,9,5.8296,4.36,78.24,28.24
2015,6,10,5.8315,4.27,75.03,28.78
2015,6,11,6.1003,2.31,74.31,29.13
2015,6,12,6.3398,1.13,76.3,28.77
2015,6,13,5.6232,1.22,76.5,27.97
2015,6,14,6.1654,2.17,76.24,28.29
2015,6,15,6.4546,5.84,75.4,28.56
2015,6,16,5.2178,5.72,80.91,27.72
2015,6,17,5.395,6.04,79.73,27.92
2015,6,18,4.5878,15.08,77.01,28.25
2015,6,19,5.593,5.89,75.54,28.69
2015,6,20,4.2924,11.7,83.2,27.3
2015,6,21,4.5427,5.49,83.71,26.83
2015,6,22,5.6508,3.35,82.86,26.96
2015,6,23,5.8858,3.72,82.14,27.13
2015,6,24,6.2986,2.02,79.74,27.54
2015,6,25,6.4217,1.21,76.51,28.23
2015,6,26,5.6016,2.53,77.05,28.3
2015,6,27,6.4258,0.35,71.23,29.26
2015,6,28,6.217,1.88,69.2,29.41
2015,6,29,6.3199,6.11,74.26,28.84
2015,6,30,6.3569,5.64,76.66,28.56
2015,7,1,6.0972,3.42,80.5,27.95
2015,7,2,6.0132,1.28,78.5,28.27
2015,7,3,5.1859,2.3,81.26,27.66
2015,7,4,2.9388,16.36,89.94,26.32
2015,7,5,2.2073,23.05,89.86,25.88
2015,7,6,2.9532,22.88,86.21,26.05
