year,month,day,solar_irradiance,rainfall,humidity,temperature,peak_demand_kw,consumption_kwh
2015,1,1,1.5552,18.81,90.22,22.07,1346.55,33431.57
2015,1,2,2.9033,6.33,87.35,21.59,1355.07,33643.05
2015,1,3,3.4356,0.82,86.66,22.11,1373.63,34104.03
2015,1,4,4.1462,1.05,88.43,23.21,1407.41,34942.69
2015,1,5,3.275,1.7,90.18,23.75,1406.66,34923.94
2015,1,6,4.159,0.56,87.16,23.44,1412.59,35071.1
2015,1,7,3.2798,0.85,86.94,22.98,1390.17,34514.54
2015,1,8,4.1093,4.09,86.83,22.37,1388.67,34477.43
2015,1,9,3.2882,6.57,87.56,21.99,1369.0,33988.89
2015,1,10,4.4136,1.84,85.82,21.37,1371.19,34043.23
2015,1,11,3.9206,1.79,86.36,21.87,1375.21,34143.1
2015,1,12,3.9182,2.89,87.09,22.33,1385.13,34389.46
2015,1,13,3.2976,0.87,86.59,22.75,1385.47,34397.98
2015,1,14,3.2748,0.18,85.61,23.45,1400.2,34763.71
2015,1,15,3.5333,0.35,85.95,23.55,1406.04,34908.68
2015,1,16,4.0102,0.7,84.81,23.04,1401.8,34803.32
2015,1,17,2.5337,1.45,82.29,21.76,1353.58,33606.12
2015,1,18,0.6838,47.39,90.0,21.27,1317.65,32714.02
2015,1,19,5.2406,0.86,81.93,23.97,1439.62,35742.25
2015,1,20,4.2074,0.0,81.68,24.73,1441.28,35783.44
2015,1,21,5.0539,0.05,79.85,25.58,1472.18,36550.77
2015,1,22,3.6242,3.68,85.93,24.19,1421.15,35283.77
2015,1,23,2.0102,4.95,86.68,22.03,1352.05,33568.03
2015,1,24,2.5618,1.01,81.29,21.6,1350.55,33531.0
2015,1,25,4.103,0.2,83.05,22.19,1384.68,34378.33
2015,1,26,3.875,0.17,84.73,22.81,1394.91,34632.26
2015,1,27,3.7795,0.01,84.28,22.95,1396.59,34673.93
2015,1,28,3.8688,0.74,86.96,24.11,1422.95,35328.31
2015,1,29,2.9978,0.86,86.17,24.04,1408.91,34979.81
2015,1,30,3.541,0.47,85.12,23.41,1403.14,34836.46
2015,1,31,5.1946,0.24,79.83,22.44,1405.42,34893.08
2015,2,1,3.509,0.77,79.67,22.17,1384.16,34365.32
2015,2,2,5.2363,0.06,76.46,21.7,1398.06,34710.44
2015,2,3,5.2985,0.02,78.78,21.79,1400.91,34781.31
2015,2,4,5.1086,0.34,80.49,21.81,1398.7,34726.4
2015,2,5,5.3491,0.51,81.54,22.3,1412.89,35078.54
2015,2,6,5.1209,0.74,82.67,22.58,1415.84,35151.97
2015,2,7,5.0479,0.87,83.03,23.26,1429.79,35498.12
2015,2,8,5.9112,0.0,73.26,24.75,1475.22,36626.1
2015,2,9,5.237,2.09,80.58,23.16,1430.28,35510.44
2015,2,10,4.6721,5.55,84.37,22.7,1412.13,35059.76
2015,2,11,3.6125,1.21,84.39,23.18,1407.54,34945.71
2015,2,12,4.9994,2.58,81.68,24.18,1449.34,35983.67
2015,2,13,3.0065,8.7,86.06,23.73,1410.75,35025.53
2015,2,14,2.849,16.83,89.17,23.56,1404.82,34878.34
2015,2,15,3.5974,9.26,90.3,23.8,1420.78,35274.43
2015,2,16,4.0488,0.16,83.1,23.75,1426.19,35408.86
2015,2,17,5.887,0.04,81.49,23.66,1450.66,36016.37
2015,2,18,4.7342,0.52,80.79,23.56,1431.89,35550.32
2015,2,19,4.0478,5.36,84.14,23.21,1414.4,35116.21
2015,2,20,2.5164,3.58,83.3,22.71,1381.8,34306.82
2015,2,21,3.8758,0.06,79.61,22.94,1406.07,34909.34
2015,2,22,6.0701,0.0,78.76,22.72,1432.38,35562.55
2015,2,23,6.3533,0.0,80.42,22.94,1441.3,35784.05
2015,2,24,4.8514,0.47,82.13,23.8,1438.85,35723.06
2015,2,25,4.979,0.85,83.22,24.47,1455.43,36134.78
2015,2,26,6.0634,0.46,81.36,24.95,1481.89,36791.8
2015,2,27,5.8867,0.0,79.72,24.82,1476.41,36655.8
2015,2,28,5.5829,0.0,79.5,24.55,1465.99,36397.01
2015,3,1,6.5203,0.0,77.17,23.98,1741.22,43230.39
2015,3,2,6.4562,0.05,77.77,23.6,1730.05,42953.01
2015,3,3,6.5436,0.01,75.32,23.75,1735.52,43088.81
2015,3,4,6.4507,0.0,75.95,24.5,1753.81,43542.95
2015,3,5,4.5559,2.84,79.53,24.72,1726.78,42871.77
2015,3,6,5.6952,0.46,78.47,25.03,1754.7,43564.87
2015,3,7,5.6851,0.79,79.0,25.07,1755.57,43586.63
2015,3,8,6.6708,0.07,75.11,23.92,1742.21,43254.9
2015,3,9,6.895,0.0,73.4,24.04,1749.25,43429.6
2015,3,10,6.3466,0.13,74.2,23.5,1725.53,42840.87
2015,3,11,2.8423,11.03,84.56,23.96,1677.63,41651.49
2015,3,12,5.3378,1.03,79.4,24.23,1727.5,42889.56
2015,3,13,4.5094,0.35,77.26,24.7,1725.45,42838.84
2015,3,14,5.4053,0.28,77.39,24.89,1745.97,43348.27
2015,3,15,6.0485,0.41,76.87,24.9,1757.42,43632.51
2015,3,16,5.1734,0.38,76.05,24.11,1721.52,42741.31
2015,3,17,7.0351,0.0,71.06,23.52,1737.79,43145.14
2015,3,18,6.8153,0.0,70.41,24.57,1761.98,43745.67
2015,3,19,6.7562,0.0,70.82,25.26,1779.3,44175.72
2015,3,20,6.0221,1.95,71.94,26.45,1797.87,44636.83
2015,3,21,3.4253,8.47,81.88,26.67,1757.31,43629.89
2015,3,22,3.1942,7.11,84.06,25.45,1721.89,42750.36
2015,3,23,3.8294,6.89,82.23,25.22,1727.09,42879.46
2015,3,24,4.615,4.45,79.97,25.4,1745.5,43336.62
2015,3,25,4.411,3.41,79.94,25.29,1739.07,43176.94
2015,3,26,5.1787,6.02,80.51,25.09,1747.27,43380.4
2015,3,27,5.9798,1.22,77.28,25.34,1767.83,43891.06
2015,3,28,6.4531,0.58,76.3,25.51,1780.63,44208.66
2015,3,29,6.7843,0.12,75.97,25.45,1784.84,44313.36
2015,3,30,6.7392,0.39,75.91,25.44,1783.79,44287.13
2015,3,31,5.531,0.05,77.36,26.1,1779.94,44191.59
2015,4,1,5.5056,1.29,78.38,26.82,1809.0,44912.99
2015,4,2,6.805,0.3,74.2,26.52,1824.36,45294.38
2015,4,3,7.4266,0.01,73.36,26.06,1823.11,45263.51
2015,4,4,5.5092,0.4,71.35,27.39,1824.12,45288.42
2015,4,5,2.1614,1.67,78.89,26.07,1729.65,42943.09
2015,4,6,6.5419,0.21,74.55,27.05,1833.79,45528.47
2015,4,7,6.6262,0.04,73.15,26.46,1819.55,45175.04
2015,4,8,6.6418,0.05,71.97,26.13,1811.01,44963.12
2015,4,9,5.3844,0.9,73.32,26.06,1786.76,44361.03
2015,4,10,5.6417,1.11,74.67,26.01,1790.02,44441.9
2015,4,11,6.6742,0.67,74.35,26.08,1810.26,44944.28
2015,4,12,6.7961,0.26,71.11,26.94,1835.43,45569.39
2015,4,13,6.9458,0.41,67.08,27.97,1865.73,46321.55
2015,4,14,5.856,1.1,71.68,27.16,1824.31,45293.32
2015,4,15,3.8916,2.96,75.53,26.64,1775.27,44075.6
2015,4,16,5.5834,2.64,74.45,28.13,1845.02,45807.51
2015,4,17,6.4531,0.87,72.93,28.02,1858.05,46130.77
2015,4,18,5.9251,2.6,75.46,27.77,1841.74,45726.06
2015,4,19,5.9129,2.0,75.01,28.46,1859.82,46174.86
2015,4,20,6.7687,0.98,68.33,29.55,1904.75,47290.25
2015,4,21,5.3686,5.26,81.04,27.24,1817.61,45126.83
2015,4,22,6.5316,2.21,78.32,27.02,1832.8,45503.98
2015,4,23,6.6646,1.68,73.95,26.79,1829.05,45411.02
2015,4,24,5.513,3.59,77.91,26.35,1796.71,44608.06
2015,4,25,6.876,0.29,73.84,26.85,1834.46,45545.33
2015,4,26,6.3154,0.21,72.07,27.39,1838.75,45651.68
2015,4,27,6.4906,0.55,72.94,27.52,1845.4,45816.72
