year,month,temperature,humidity,rainfall,solar_irradiance,peak_demand_kw,consumption_kwh
2015,1,22.94103448,85.37172414,86.34,3.6323,1398.18,968469.74
2015,2,23.3125,81.78535714,61.03,4.76615,1073.02,938467.01
2015,3,24.82774194,77.19645161,58.49,5.609864516,1842.54,1116724.26
2015,4,27.27,73.06233333,34.3,6.125543333,1302.69,1074714.75
2015,5,29.23612903,67.77741935,38.44,6.285083871,1333.4,1047521.55
2015,6,28.34066667,76.58866667,142.34,5.865603333,984.61,773207.27
2015,7,26.64096774,84.36709677,255.43,4.687270968,1281.78,917656.48
2015,8,26.95129032,84.79258065,233.47,4.988354839,1224.6,845348.06
2015,9,26.82733333,85.607,239.31,5.23224,1124.26,829322.7
2015,10,26.25870968,86.07258065,277.72,4.439887097,1052.48,931217.47
2015,11,25.54533333,87.476,156.2,4.36381,1377.45,983865.25
2015,12,24.84870968,88.36419355,650.64,3.667209677,1463.87,887315.14
2016,1,24.45903226,86.16096774,90.2,4.187625806,1231.32,1009289.32
2016,2,24.04275862,84.46793103,146.54,4.358858621,1302.74,981690.07
2016,3,25.92419355,79.77064516,103.67,5.426025806,1471.23,1041496.8
2016,4,28.16666667,72.98966667,36.53,6.501726667,1293.59,1122397.26
2016,5,28.73903226,75.34677419,132.81,5.771887097,1611.02,1029968.37
2016,6,27.50433333,82.349,203.36,5.252446667,1397.31,907583.64
2016,7,27.16645161,82.78580645,244.23,5.137841935,1229.59,843697.15
2016,8,26.29612903,89.97193548,354.26,4.215212903,1113.17,867034.61
2016,9,26.361,88.342,231.61,4.746943333,1258.67,916427.54
2016,10,26.05258065,88.99935484,387.64,4.171219355,1594.13,1039354.81
2016,11,25.19533333,89.75,365.27,3.62313,1310.34,971606.44
2016,12,24.83709677,91.16096774,459.39,3.161670968,1184.43,1049497.3
2017,1,23.64193548,88.48096774,259.35,3.27146129,1257.47,1006295.84
2017,2,23.30642857,86.44107143,168.43,4.1387,1117.06,902152.61
2017,3,24.98806452,81.56516129,65.76,5.297974194,1642.36,1052750.08
2017,4,27.49,75.214,104.84,5.859936667,1665.97,1069576.12
2017,5,28.01483871,79.70096774,171.54,5.841725806,1773.74,1102425.19
2017,6,27.68833333,81.38833333,192.02,5.766103333,1176.09,950194.15
2017,7,26.40967742,87.23806452,357.71,4.253035484,1282.88,919718.69
2017,8,26.85,85.68741935,307.13,5.129567742,1081.28,918129.72
2017,9,26.80966667,86.18366667,456.28,4.589086667,1349.99,898991.34
2017,10,26.20451613,87.75064516,359.3,3.669412903,1681.91,1021936.89
2017,11,25.58966667,91.10266667,468.24,3.59439,1024.78,905598.34
2017,12,24.57064516,90.17,485.34,2.892432258,1140.13,1000372.05
2018,1,24.01483871,89.04741935,223.65,3.351916129,1410.89,1020142.93
2018,2,24.48857143,85.12821429,94.61,4.520014286,1552.18,1045580.44
2018,3,24.92774194,80.82935484,98.04,5.230480645,1715.05,1172770.13
2018,4,26.78033333,78.32566667,74.51,6.04352,1250.52,1076853.73
2018,5,27.91322581,78.94903226,126.67,5.892841935,1543.42,1072276.32
2018,6,26.65933333,86.998,386.48,4.56194,1263.81,905561.94
2018,7,25.8983871,90.72612903,455.58,4.283625806,1170.1,882449.3
2018,8,25.89677419,89.50451613,278.29,4.221864516,1240.79,954018.22
2018,9,26.19733333,87.14766667,308.1,4.792483333,1376.77,969857.87
2018,10,25.93516129,84.89935484,156.05,5.019554839,1124.06,966657.41
2018,11,25.36133333,85.934,122.2,4.281616667,1361.8,1043434.61
2018,12,24.81741935,87.90548387,475.17,3.074654839,1716.72,1070315.83
2019,1,23.2816129,85.84064516,105.54,3.945187097,1646.4,1022413.09
2019,2,23.6425,80.23535714,28.61,5.242296429,1250.01,1070690.87
2019,3,26.24354839,72.16548387,17.76,6.0485,1566.06,1267340.29
2019,4,28.23566667,70.43233333,50.92,6.51488,1533.04,1186663.36
2019,5,28.47580645,76.72516129,208.52,5.780177419,1733.66,1215037.28
2019,6,27.901,83.81933333,187.81,5.68217,1229.96,977363.95
2019,7,26.57967742,86.55,244.52,4.96776129,1394.37,953908.37
2019,8,26.15225806,90.25870968,322.45,4.099916129,1394.3,973934.36
2019,9,26.072,87.90766667,276.82,4.32614,1110.63,987556.95
2019,10,26.22451613,85.39645161,168.34,4.735145161,1654.89,1013039.22
2019,11,25.54766667,88.62433333,198.7,3.744093333,1702.61,1046574.35
2019,12,24.7816129,88.34096774,320.76,3.693367742,1804.82,1096184.91
2020,1,24.38709677,83.86096774,136.14,3.931558065,1339.62,1040737.35
2020,2,23.24206897,84.97793103,737.59,4.364631034,1638.43,1004436.99
2020,3,25.2383871,84.80419355,575.42,5.9448,1889.8,1137649.43
2020,4,26.41166667,84.178,605.5,5.892586667,1917.29,1199398.57
2020,5,27.94741935,82.98709677,245.42,5.895329032,1598.77,1254705.09
2020,6,27.34266667,84.00533333,598.42,5.622523333,1648.66,1035057.54
2020,7,26.92516129,84.76967742,252.58,5.295416129,1484.82,1008571.03
2020,8,26.54580645,86.05129032,247.47,4.650941935,1882.77,1172659.91
2020,9,27.02133333,85.03166667,270.71,5.129313333,1069.16,945255.98
2020,10,26.20096774,90.09870968,1050.3,3.603970968,1364.15,1073881.87
2020,11,25.40533333,90.67533333,1075.6,3.528903333,1486.87,1061106.4
2020,12,25.00903226,91.47870968,860.05,3.276909677,1669.79,1145920.85
2021,1,23.73548387,88.83645161,279.34,3.264893548,1637.61,1117640.86
2021,2,24.02892857,86.48392857,159.77,4.179196429,1508.06,1078770.02
2021,3,25.47451613,84.99354839,162.74,5.156877419,1363.57,1180888.01
2021,4,26.686,76.851,58.43,5.68279,2006.23,1273353.84
2021,5,28.35290323,77.43709677,73.62,6.1078,1435.16,1148003.9
2021,6,27.18133333,83.08666667,173.78,5.404516667,1466.1,992026.09
2021,7,26.68451613,88.96903226,475.6,4.089609677,1393.53,1115952.17
2021,8,26.8483871,85.40387097,193.63,4.780316129,1187.35,1060982.71
2021,9,26.518,87.974,409.48,4.363793333,1201.93,1031288.47
2021,10,26.01483871,89.23064516,293.28,3.739493548,1398.44,1158289.72
2021,11,25.74633333,89.99733333,225.48,3.9189,1370.48,1206115.09
2021,12,24.05677419,87.2816129,182.04,3.36303871,1439.81,1035362.47
2022,1,23.79967742,85.0216129,108.47,4.031029032,1596.22,1087334.7
2022,2,24.64428571,85.35107143,140.96,4.118753571,1910.94,1169869.61
2022,3,26.02387097,83.08290323,100.55,5.35316129,1911.56,1351662.41
2022,4,26.16466667,84.29733333,230.2,5.042056667,1932.74,1174841.09
2022,5,27.52129032,80.49580645,183.91,5.764358065,1636.1,1269945.01
2022,6,27.19866667,83.04633333,244.91,5.450413333,1567.25,1002339.31
2022,7,27.11677419,85.84451613,295.17,4.755048387,1683.35,1053017.52
2022,8,26.28741935,87.47741935,341.27,4.229383871,1266.16,998707.52
2022,9,26.155,89.37866667,368.87,4.579343333,1438.46,1073205.63
2022,10,26.2683871,89.77419355,560.65,4.108135484,1532.38,1178346.39
2022,11,25.70366667,91.027,239.09,3.801266667,1730.78,1131004.62
2022,12,24.44516129,89.68290323,316.38,3.036767742,1678.89,1206269.82
2023,1,23.60322581,90.03548387,404.36,3.101880645,1353.69,1211755.62
2023,2,24.11928571,85.72464286,117.59,4.343689286,1486.45,1153621.47
2023,3,24.80322581,79.73709677,23.34,5.6874,1754.21,1289624.23
2023,4,27.387,75.72466667,94.87,5.480026667,1962.21,1321591.23
2023,5,28.41387097,78.40580645,150.2,5.519196774,1834.02,1323449.77
2023,6,27.60866667,84.50766667,272.05,5.32746,1483.24,1093508.6
2023,7,27.08354839,86.59612903,429.02,4.645274194,1559.39,1016440.39
2023,8,26.81580645,88.84419355,188.17,5.102758065,1207.81,1043163.34
2023,9,27.34333333,85.283,237.11,4.636236667,1717.7,1035230.26
2023,10,26.50967742,88.5216129,255.69,3.993809677,1852.38,1185395.81
2023,11,25.78833333,89.69866667,323.74,3.674496667,1605.69,1129706.35
2023,12,25.31322581,89.68645161,338.73,3.590316129,1359.72,1159294.13
2024,1,23.9516129,85.64741935,93.06,3.709564516,1411.41,1199039.07
2024,2,24.62586207,81.01034483,38.23,4.959327586,1804.5,1182828.32
2024,3,25.9883871,78.19741935,69.91,5.272519355,2083.4,1307302.01
2024,4,28.68866667,70.48533333,12.14,6.736396667,1498.89,1340851.5
2024,5,29.17096774,75.28935484,268.18,5.780074194,1885.85,1329177.92
2024,6,28.18266667,82.27466667,238.36,5.41397,1587.18,1086533.67
2024,7,26.88483871,87.61193548,528.28,3.990751613,1938.54,1202751.66
2024,8,27.36903226,85.61580645,218.94,5.295758065,1711.55,1044188.78
2024,9,26.67733333,89.28266667,385.38,4.038306667,1464.51,1204739.88
2024,10,26.61709677,88.54096774,504.41,3.894477419,1653.03,1151646.04
2024,11,26.20466667,87.13233333,165.62,4.258776667,1908.16,1220657.92
2024,12,25.20677419,90.95677419,573.43,2.682490323,2122.93,1312734.32
2025,1,24.36387097,88.86290323,210.24,3.420067742,1826.96,1147404.68
2025,2,24.47142857,87.385,219.95,3.897553571,1770.46,1340997.35
