year,month,temperature,humidity,rainfall,solar_irradiance,peak_demand_kw,consumption_kwh
2015,1,22.94103448,85.37172414,86.34,3.6323,1325.64,764928.08
2015,2,23.3125,81.78535714,61.03,4.76615,1340.66,772605.0
2015,3,24.82774194,77.19645161,58.49,5.609864516,1508.93,868826.43
2015,4,27.27,73.06233333,34.3,6.125543333,1561.45,898171.92
2015,5,29.23612903,67.77741935,38.44,6.285083871,1605.49,922615.18
2015,6,28.34066667,76.58866667,142.34,5.865603333,1542.37,885144.76
2015,7,26.64096774,84.36709677,255.43,4.687270968,1522.18,872481.03
2015,8,26.95129032,84.79258065,233.47,4.988354839,1536.51,879759.92
2015,9,26.82733333,85.607,239.31,5.23224,1460.6,834903.84
2015,10,26.25870968,86.07258065,277.72,4.439887097,1460.39,833781.52
2015,11,25.54533333,87.476,156.2,4.36381,1403.48,799900.15
2015,12,24.84870968,88.36419355,650.64,3.667209677,1401.65,797840.57
2016,1,24.45903226,86.16096774,90.2,4.187625806,1397.18,806259.32
2016,2,24.04275862,84.46793103,146.54,4.358858621,1399.2,806426.63
2016,3,25.92419355,79.77064516,103.67,5.426025806,1581.02,910478.54
2016,4,28.16666667,72.98966667,36.53,6.501726667,1631.38,938575.14
2016,5,28.73903226,75.34677419,132.81,5.771887097,1650.94,948874.47
2016,6,27.50433333,82.349,203.36,5.252446667,1579.59,906654.64
2016,7,27.16645161,82.78580645,244.23,5.137841935,1582.59,907384.98
2016,8,26.29612903,89.97193548,354.26,4.215212903,1576.12,902647.76
2016,9,26.361,88.342,231.61,4.746943333,1501.07,858284.82
2016,10,26.05258065,88.99935484,387.64,4.171219355,1504.9,859496.98
2016,11,25.19533333,89.75,365.27,3.62313,1443.5,823024.62
2016,12,24.83709677,91.16096774,459.39,3.161670968,1446.74,823892.98
2017,1,23.64193548,88.48096774,259.35,3.27146129,1429.96,825198.71
2017,2,23.30642857,86.44107143,168.43,4.1387,1433.14,826038.54
2017,3,24.98806452,81.56516129,65.76,5.297974194,1615.72,930528.51
2017,4,27.49,75.214,104.84,5.859936667,1672.43,962291.63
2017,5,28.01483871,79.70096774,171.54,5.841725806,1691.44,972273.63
2017,6,27.68833333,81.38833333,192.02,5.766103333,1634.57,938415.65
2017,7,26.40967742,87.23806452,357.71,4.253035484,1620.07,929041.29
2017,8,26.85,85.68741935,307.13,5.129567742,1637.16,937915.81
2017,9,26.80966667,86.18366667,456.28,4.589086667,1556.87,890524.17
2017,10,26.20451613,87.75064516,359.3,3.669412903,1555.38,888663.47
2017,11,25.58966667,91.10266667,468.24,3.59439,1495.53,853085.4
2017,12,24.57064516,90.17,485.34,2.892432258,1487.58,847487.93
2018,1,24.01483871,89.04741935,223.65,3.351916129,1483.11,855910.67
2018,2,24.48857143,85.12821429,94.61,4.520014286,1500.59,865010.4
2018,3,24.92774194,80.82935484,98.04,5.230480645,1666.5,959867.91
2018,4,26.78033333,78.32566667,74.51,6.04352,1711.98,985144.99
2018,5,27.91322581,78.94903226,126.67,5.892841935,1743.29,1002234.0
2018,6,26.65933333,86.998,386.48,4.56194,1666.74,957005.88
2018,7,25.8983871,90.72612903,455.58,4.283625806,1661.3,952863.35
2018,8,25.89677419,89.50451613,278.29,4.221864516,1670.27,957045.67
2018,9,26.19733333,87.14766667,308.1,4.792483333,1594.18,912083.78
2018,10,25.93516129,84.89935484,156.05,5.019554839,1598.49,913572.19
2018,11,25.36133333,85.934,122.2,4.281616667,1537.29,877211.71
2018,12,24.81741935,87.90548387,475.17,3.074654839,1536.94,876011.14
2019,1,23.2816129,85.84064516,105.54,3.945187097,1516.26,875064.12
2019,2,23.6425,80.23535714,28.61,5.242296429,1531.93,883114.93
2019,3,26.24354839,72.16548387,17.76,6.0485,1745.16,1005316.07
2019,4,28.23566667,70.43233333,50.92,6.51488,1794.63,1032898.44
2019,5,28.47580645,76.72516129,208.52,5.780177419,1808.51,1039917.07
2019,6,27.901,83.81933333,187.81,5.68217,1742.13,1000564.12
2019,7,26.57967742,86.55,244.52,4.96776129,1725.26,989819.14
2019,8,26.15225806,90.25870968,322.45,4.099916129,1725.9,989184.76
2019,9,26.072,87.90766667,276.82,4.32614,1639.8,938438.67
2019,10,26.22451613,85.39645161,168.34,4.735145161,1651.61,944266.08
2019,11,25.54766667,88.62433333,198.7,3.744093333,1586.15,905442.07
2019,12,24.7816129,88.34096774,320.76,3.693367742,1581.57,901794.93
2020,1,24.38709677,83.86096774,136.14,3.931558065,1583.58,913959.29
2020,2,23.24206897,84.97793103,737.59,4.364631034,1570.79,905566.27
2020,3,25.2383871,84.80419355,575.42,5.9448,1776.87,1023633.96
2020,4,26.41166667,84.178,605.5,5.892586667,1810.43,1042028.06
2020,5,27.94741935,82.98709677,245.42,5.895329032,1851.59,1064807.29
2020,6,27.34266667,84.00533333,598.42,5.622523333,1782.69,1024000.53
2020,7,26.92516129,84.76967742,252.58,5.295416129,1783.27,1023333.3
2020,8,26.54580645,86.05129032,247.47,4.650941935,1784.61,1023110.83
2020,9,27.02133333,85.03166667,270.71,5.129313333,1705.73,976530.62
2020,10,26.20096774,90.09870968,1050.3,3.603970968,1699.11,971708.24
2020,11,25.40533333,90.67533333,1075.6,3.528903333,1629.21,930319.54
2020,12,25.00903226,91.47870968,860.05,3.276909677,1630.97,930335.36
2021,1,23.73548387,88.83645161,279.34,3.264893548,1617.71,933678.6
2021,2,24.02892857,86.48392857,159.77,4.179196429,1632.47,941202.03
2021,3,25.47451613,84.99354839,162.74,5.156877419,1834.08,1056691.6
2021,4,26.686,76.851,58.43,5.68279,1869.2,1075984.46
2021,5,28.35290323,77.43709677,73.62,6.1078,1914.15,1100951.0
2021,6,27.18133333,83.08666667,173.78,5.404516667,1830.83,1051815.2
2021,7,26.68451613,88.96903226,475.6,4.089609677,1829.51,1050050.85
2021,8,26.8483871,85.40387097,193.63,4.780316129,1841.92,1056218.14
2021,9,26.518,87.974,409.48,4.363793333,1744.26,998792.26
2021,10,26.01483871,89.23064516,293.28,3.739493548,1743.39,997293.66
2021,11,25.74633333,89.99733333,225.48,3.9189,1681.2,960362.57
2021,12,24.05677419,87.2816129,182.04,3.36303871,1658.41,946192.71
2022,1,23.79967742,85.0216129,108.47,4.031029032,1665.54,961312.4
2022,2,24.64428571,85.35107143,140.96,4.118753571,1691.58,975354.79
2022,3,26.02387097,83.08290323,100.55,5.35316129,1898.54,1093934.51
2022,4,26.16466667,84.29733333,230.2,5.042056667,1910.66,1099939.3
2022,5,27.52129032,80.49580645,183.91,5.764358065,1949.76,1121529.21
2022,6,27.19866667,83.04633333,244.91,5.450413333,1882.6,1081724.79
2022,7,27.11677419,85.84451613,295.17,4.755048387,1889.85,1084913.22
2022,8,26.28741935,87.47741935,341.27,4.229383871,1881.12,1078868.71
2022,9,26.155,89.37866667,368.87,4.579343333,1785.05,1022359.45
2022,10,26.2683871,89.77419355,560.65,4.108135484,1796.33,1027880.77
2022,11,25.70366667,91.027,239.09,3.801266667,1726.14,986327.97
2022,12,24.44516129,89.68290323,316.38,3.036767742,1710.78,976448.98
2023,1,23.60322581,90.03548387,404.36,3.101880645,1708.04,985865.53
2023,2,24.11928571,85.72464286,117.59,4.343689286,1727.74,996248.34
2023,3,24.80322581,79.73709677,23.34,5.6874,1923.31,1108246.74
2023,4,27.387,75.72466667,94.87,5.480026667,1991.25,1146497.99
2023,5,28.41387097,78.40580645,150.2,5.519196774,2023.67,1164231.0
2023,6,27.60866667,84.50766667,272.05,5.32746,1943.02,1116633.15
2023,7,27.08354839,86.59612903,429.02,4.645274194,1940.48,1114164.33
2023,8,26.81580645,88.84419355,188.17,5.102758065,1943.59,1114964.1
2023,9,27.34333333,85.283,237.11,4.636236667,1857.59,1064275.01
2023,10,26.50967742,88.5216129,255.69,3.993809677,1849.3,1058487.14
2023,11,25.78833333,89.69866667,323.74,3.674496667,1773.57,1013731.07
2023,12,25.31322581,89.68645161,338.73,3.590316129,1773.12,1012466.59
2024,1,23.9516129,85.64741935,93.06,3.709564516,1761.92,1016996.03
2024,2,24.62586207,81.01034483,38.23,4.959327586,1785.28,1029494.96
2024,3,25.9883871,78.19741935,69.91,5.272519355,2002.94,1154252.01
2024,4,28.68866667,70.48533333,12.14,6.736396667,2075.21,1195011.74
2024,5,29.17096774,75.28935484,268.18,5.780074194,2095.51,1205741.73
2024,6,28.18266667,82.27466667,238.36,5.41397,2007.63,1153965.95
2024,7,26.88483871,87.61193548,528.28,3.990751613,1987.33,1141233.31
2024,8,27.36903226,85.61580645,218.94,5.295758065,2007.26,1151750.54
2024,9,26.67733333,89.28266667,385.38,4.038306667,1891.98,1084145.29
2024,10,26.61709677,88.54096774,504.41,3.894477419,1899.7,1087603.87
2024,11,26.20466667,87.13233333,165.62,4.258776667,1827.88,1045106.42
2024,12,25.20677419,90.95677419,573.43,2.682490323,1816.47,1037515.26
2025,1,24.36387097,88.86290323,210.24,3.420067742,1817.59,1049161.87
2025,2,24.47142857,87.385,219.95,3.897553571,1828.94,1054720.97
2025,3,25.54258065,84.30645161,129.94,4.775725806,2044.8,1178441.65
2025,4,27.709,76.365,58.57,6.351053333,2105.92,1212754.02
2025,5,27.97193548,80.07580645,205.3,5.792709677,2121.25,1220608.71
2025,6,27.071,85.38966667,306.65,4.777903333,2033.86,1169119.31
2025,7,26.54,89.36967742,527.35,3.878625806,2030.55,1166207.01
2025,8,26.61096774,84.87129032,304.81,4.718567742,2041.2,1171357.56
2025,9,25.99466667,89.33733333,450.61,3.6916,1925.25,1103368.61
2025,10,26.33,89.4183871,431.05,3.840093548,1941.59,1111805.88
2025,11,25.99666667,90.85533333,545.72,3.49535,1869.53,1069170.12
2025,12,24.81870968,90.02064516,334.43,3.226519355,1853.79,1059080.85
2026,1,23.2261,88.0216,7.1087,3.3363,1838.95,1061503.87
2026,2,23.8389,85.3389,4.7214,4.392,1861.7,1073647.96
2026,3,24.43,78.0681,0.95,5.518,2069.66,1192801.82
2026,4,27.45,69.058,0.4893,6.7457,2153.19,1240066.9
2026,5,29.1093,68.5257,1.6043,7.1437,2203.15,1267928.45
