year,month,temperature,humidity,rainfall,solar_irradiance,peak_demand_kw,consumption_kwh
2015,1,22.87,85.59,111.48,3.54,1472.18,1071048.3
2015,2,23.31,81.79,61.03,4.77,1481.89,991973.05
2015,3,24.83,77.2,58.49,5.61,1797.87,1345214.61
2015,4,27.27,73.06,34.3,6.13,1905.69,1364675.7
2015,5,29.24,67.78,38.44,6.29,1884.78,1418562.37
2015,6,28.34,76.59,142.34,5.87,1749.8,1265938.53
2015,7,26.64,84.37,255.43,4.69,1725.77,1269025.58
2015,8,26.95,84.79,233.47,4.99,1741.99,1286271.37
2015,9,26.83,85.61,239.31,5.23,1557.61,1138892.56
2015,10,26.26,86.07,277.72,4.44,1522.52,1130751.27
2015,11,25.55,87.48,156.2,4.36,1409.5,1033981.67
2015,12,24.85,88.36,650.64,3.67,1424.43,1056204.67
2016,1,24.46,86.16,90.2,4.19,1529.13,1139912.54
2016,2,24.04,84.47,146.54,4.36,1540.9,1067858.63
2016,3,25.92,79.77,103.67,5.43,1909.53,1408820.38
2016,4,28.17,72.99,36.53,6.5,1976.11,1431925.68
2016,5,28.74,75.35,132.81,5.77,1924.4,1446356.72
2016,6,27.5,82.35,203.36,5.25,1775.15,1282977.91
2016,7,27.17,82.79,244.23,5.14,1796.17,1325729.36
2016,8,26.3,89.97,354.26,4.22,1802.2,1304547.71
2016,9,26.36,88.34,231.61,4.75,1590.36,1161680.8
2016,10,26.05,89.0,387.64,4.17,1554.08,1160244.84
2016,11,25.2,89.75,365.27,3.62,1444.5,1053583.76
2016,12,24.84,91.16,459.39,3.16,1439.18,1084257.81
2017,1,23.64,88.48,259.35,3.27,1527.68,1149954.54
2017,2,23.31,86.44,168.43,4.14,1571.26,1048721.74
2017,3,24.99,81.57,65.76,5.3,1950.59,1430474.51
2017,4,27.49,75.21,104.84,5.86,2047.53,1452943.02
2017,5,28.01,79.7,171.54,5.84,1965.63,1476863.55
2017,6,27.69,81.39,192.02,5.77,1847.51,1333128.86
2017,7,26.41,87.24,357.71,4.25,1804.31,1339754.09
2017,8,26.85,85.69,307.13,5.13,1846.58,1368480.89
2017,9,26.81,86.18,456.28,4.59,1700.42,1203796.44
2017,10,26.2,87.75,359.3,3.67,1590.33,1192807.52
2017,11,25.59,91.1,468.24,3.59,1497.43,1092389.36
2017,12,24.57,90.17,485.34,2.89,1491.85,1110367.31
2018,1,24.01,89.05,223.65,3.35,1601.94,1192369.32
2018,2,24.49,85.13,94.61,4.52,1636.03,1104162.0
2018,3,24.93,80.83,98.04,5.23,1971.12,1471148.14
2018,4,26.78,78.33,74.51,6.04,2047.12,1483928.94
2018,5,27.91,78.95,126.67,5.89,2031.8,1519909.94
2018,6,26.66,87.0,386.48,4.56,1895.43,1336662.55
2018,7,25.9,90.73,455.58,4.28,1822.05,1370093.22
2018,8,25.9,89.5,278.29,4.22,1850.4,1377350.06
2018,9,26.2,87.15,308.1,4.79,1712.72,1231367.77
2018,10,25.94,84.9,156.05,5.02,1658.6,1240588.36
2018,11,25.36,85.93,122.2,4.28,1559.19,1129242.96
2018,12,24.82,87.91,475.17,3.07,1534.77,1150205.99
2019,1,23.28,85.84,105.54,3.95,1611.31,1220739.85
2019,2,23.64,80.24,28.61,5.24,1656.9,1129973.9
2019,3,26.24,72.17,17.76,6.05,2082.14,1556534.92
2019,4,28.24,70.43,50.92,6.51,2161.23,1566896.93
2019,5,28.48,76.73,208.52,5.78,2135.21,1575206.58
2019,6,27.9,83.82,187.81,5.68,1977.87,1416489.6
2019,7,26.58,86.55,244.52,4.97,1942.56,1434230.34
2019,8,26.15,90.26,322.45,4.1,1901.93,1421166.7
2019,9,26.07,87.91,276.82,4.33,1758.81,1259097.45
2019,10,26.22,85.4,168.34,4.74,1726.92,1278615.95
2019,11,25.55,88.62,198.7,3.74,1597.85,1159152.75
2019,12,24.78,88.34,320.76,3.69,1591.95,1190536.95
2020,1,24.39,83.86,136.14,3.93,1722.3,1276588.73
